filename,cik,company,filing_date,period_of_report,year,has_item_7,item_7_length,json_path
29534_10K_2017_0001558370-17-002116.json,29534,DOLLAR GENERAL CORP,2017-03-24,2017-02-03,2017,True,62203,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/29534_10K_2017_0001558370-17-002116.json
29669_10K_2016_0001564590-17-002897.json,29669,RR Donnelley & Sons Co,2017-02-28,2016-12-31,2016,True,103734,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/29669_10K_2016_0001564590-17-002897.json
29905_10K_2016_0000029905-17-000011.json,29905,DOVER Corp,2017-02-10,2016-12-31,2016,True,90708,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/29905_10K_2016_0000029905-17-000011.json
29952_10K_2016_0001477932-17-001488.json,29952,"CHINA CHANGJIANG MINING & NEW ENERGY COMPANY, LTD.",2017-03-31,2016-12-31,2016,True,17730,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/29952_10K_2016_0001477932-17-001488.json
29989_10K_2016_0000029989-17-000004.json,29989,OMNICOM GROUP INC.,2017-02-09,2016-12-31,2016,True,67806,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/29989_10K_2016_0000029989-17-000004.json
30305_10K_2016_0001628280-17-002221.json,30305,DUCOMMUN INC /DE/,2017-03-06,2016-12-31,2016,True,50191,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/30305_10K_2016_0001628280-17-002221.json
30371_10K_2016_0001326160-17-000016.json,30371,"Duke Energy Carolinas, LLC",2017-02-24,2016-12-31,2016,True,180895,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/30371_10K_2016_0001326160-17-000016.json
30554_10K_2016_0000030554-17-000004.json,30554,DUPONT E I DE NEMOURS & CO,2017-02-02,2016-12-31,2016,True,90854,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/30554_10K_2016_0000030554-17-000004.json
30625_10K_2016_0000030625-17-000046.json,30625,FLOWSERVE CORP,2017-02-16,2016-12-31,2016,True,101645,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/30625_10K_2016_0000030625-17-000046.json
30697_10K_2017_0000030697-17-000002.json,30697,Wendy's Co,2017-03-02,2017-01-01,2017,True,78260,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/30697_10K_2017_0000030697-17-000002.json
31107_10K_2016_0000031107-17-000008.json,31107,EASTERN CO,2017-03-15,2016-12-31,2016,True,54286,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/31107_10K_2016_0000031107-17-000008.json
3116_10K_2016_0001628280-17-002069.json,3116,AKORN INC,2017-03-01,2016-12-31,2016,True,35311,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/3116_10K_2016_0001628280-17-002069.json
31235_10K_2016_0001564590-17-003570.json,31235,EASTMAN KODAK CO,2017-03-07,2016-12-31,2016,True,68497,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/31235_10K_2016_0001564590-17-003570.json
31347_10K_2016_0000031347-17-000008.json,31347,ECHELON CORP,2017-03-01,2016-12-31,2016,True,60405,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/31347_10K_2016_0000031347-17-000008.json
31462_10K_2016_0001558370-17-000944.json,31462,ECOLAB INC.,2017-02-24,2016-12-31,2016,True,96507,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/31462_10K_2016_0001558370-17-000944.json
3153_10K_2016_0000092122-17-000007.json,3153,ALABAMA POWER CO,2017-02-22,2016-12-31,2016,True,907,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/3153_10K_2016_0000092122-17-000007.json
31791_10K_2017_0000031791-17-000003.json,31791,PERKINELMER INC,2017-02-28,2017-01-01,2017,True,131524,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/31791_10K_2017_0000031791-17-000003.json
